X,Y,OBJECTID,Station_Name,Station_Id,Fuel_Type,facility_type,Access_Hours,Current_Status,Accessability,Access_Details,Restricted_Access,Payment_Methods,Date_Last_Confirmed,Date_Last_Update,Open_Date,Availability_Date,Zipcode_Route,Address,City,Zipcode,State,Country,Latitude,Longitude,Directions,Federal_Owner,Phone_Number,Ownership_Type,EV_Network_Id,EV_Network,EV_Level1_EVSE_Ports,EV_Level2_EVSE_Ports,EV_DC_Fast_Ports,Total_Level2_DCFC_Ports,EV_Other_EVSE_Ports,EV_Connector_Types,EV_Network_Link,EV_Pricing,EV_Renewable_Source,Geocode_Status
-122.454132000249,48.7556070001064,11,Bellingham Nissan,39778,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2021/03/11 23:22:17+00,2011/03/15 00:00:00+00,,,1516 Iowa St,Bellingham,98229,WA,US,48.755607,-122.454132,,,360-733-7300,P,,Non-Networked,0,2,1,3,,"CHAdeMO, J1772",,Free,,200-9
-122.684286000392,47.5621620002075,12,Advantage Nissan,39779,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2023/02/15 22:45:41+00,2011/03/15 00:00:00+00,,,5101 Auto Center Blvd,Bremerton,98312,WA,US,47.562162,-122.684286,,,360-373-6300,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-122.333256999796,47.4584660002432,13,Burien Nissan,39780,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,16042 1st Ave S,Burien,98148,WA,US,47.458466,-122.333257,,,206-242-7070,P,,Non-Networked,0,2,1,3,,"CHAdeMO, J1772",,Free,,200-9
-122.344837999591,47.7782289997383,14,Campbell-Nelson Nissan,39782,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/07/13 00:00:00+00,2023/02/15 22:45:41+00,2011/03/15 00:00:00+00,,,24325 Highway 99,Edmonds,98026,WA,US,47.778229,-122.344838,,,,P,,Non-Networked,0,2,0,2,,J1772,,Free,,GPS
-122.930246999718,47.0310670002959,15,Olympia Nissan,39786,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/03/07 00:00:00+00,2023/02/14 15:54:11+00,2011/03/15 00:00:00+00,,,2220 Carriage Dr SW,Olympia,98502,WA,US,47.031067,-122.930247,,,360-352-8558,P,,Non-Networked,0,1,1,2,,"CHAdeMO, J1772, CCS",,Free,,200-9
-119.128998000243,46.236606999822,16,Bill Robertson Nissan,39787,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2023/02/15 22:45:41+00,2011/03/15 00:00:00+00,,,928 N 28th Ave,Pasco,99301,WA,US,46.236607,-119.128998,,,509-545-3000,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-123.342272999596,48.102862999822,17,Dan Wilder Nissan,39788,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,53 Jetta Way,Port Angeles,98362,WA,US,48.102863,-123.342273,,,360-452-9268,P,,Non-Networked,0,2,1,3,,"CHAdeMO, J1772",,Free,,200-9
-122.294996999956,47.2073670002169,18,Bill Korum's Puyallup Nissan,39789,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,101 Valley Ave NW,Puyallup,98371,WA,US,47.207367,-122.294997,,,253-848-4507,P,,Non-Networked,0,1,1,2,,"CHAdeMO, J1772, CCS",,Free,,200-9
-122.218800000315,47.4483539998767,19,Younker Nissan,39791,ELEC,CAR_DEALER,Dealership business hours,E,Public,,False,,2022/03/07 00:00:00+00,2023/02/14 15:54:11+00,2011/03/15 00:00:00+00,,,3401 E Valley Rd,Renton,98058,WA,US,47.448354,-122.2188,,,,P,,Non-Networked,0,1,1,2,,"CHAdeMO, J1772, CCS",,Free,,GPS
-117.409936999907,47.7390210001686,20,Wendle Nissan,39795,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2021/03/11 23:22:17+00,2011/03/15 00:00:00+00,,,9000 N Division St,Spokane,99218,WA,US,47.739021,-117.409937,,,509-468-9000,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-117.31251799967,47.657263999739,21,Dave Smith Nissan - Spokane,39796,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,6901 E Sprague Ave,Spokane Valley,99212,WA,US,47.657264,-117.312518,,,509-924-6242,P,,Non-Networked,0,2,1,3,,"CHAdeMO, J1772",,Free,,200-9
-122.485759999756,47.2197799998087,22,Tacoma Nissan,39797,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,4030 S Tacoma Way,Tacoma,98409,WA,US,47.21978,-122.48576,,,253-473-6200,P,,Non-Networked,0,1,1,2,,"CHAdeMO, J1772, CCS",,Free,,200-9
-122.597954000205,45.6480940001008,23,Alan Webb Nissan,39798,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2022/02/10 00:00:00+00,2022/02/10 19:42:29+00,2011/03/15 00:00:00+00,,,3608 NE Auto Mall Dr,Vancouver,98662,WA,US,45.648094,-122.597954,,,360-892-9004,P,,Non-Networked,0,1,1,2,,"CHAdeMO, J1772, CCS",,Free,,200-9
-118.353406000273,46.0474640001468,24,O'Brien Nissan,39799,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2021/03/11 23:22:17+00,2011/03/15 00:00:00+00,,,1395 Dalles Military Rd,Walla Walla,99362,WA,US,46.047464,-118.353406,,,509-529-7000,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-122.196960000126,47.6161040000872,25,KEY CENTER KEY CENTER 6,40383,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:25:34+00,2011/05/15 00:00:00+00,,,601 108th Ave NE,Bellevue,98004,WA,US,47.616104,-122.19696,,,888-758-4389,,USCPIL2075181,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.19403699987,47.6143399999167,26,KRC SKYLINE SKYLINE #1,40384,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:20:31+00,2011/05/15 00:00:00+00,,,10900 NE 4th St,Bellevue,98004,WA,US,47.61434,-122.194037,,,888-758-4389,,USCPIL1846191,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.332906999992,47.6041150000361,27,Caplan's Rainbow Parking,41579,ELEC,PARKING_GARAGE,"Garage business hours; see the valet for access",T,Public,,False,,2022/01/10 00:00:00+00,2022/02/10 19:42:29+00,2011/10/01 00:00:00+00,2022/12/31 00:00:00+00,,214 Columbia St,Seattle,98104,WA,US,47.604115,-122.332907,,,206-682-2991,P,,Non-Networked,0,2,0,2,,J1772,,Free,,200-8
-122.273182999706,47.4340210000981,28,CITY OF SEATAC CITY HALL 1,41776,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:09:12+00,2011/12/31 00:00:00+00,,,4800 S 188th St,SeaTac,98188,WA,US,47.434021,-122.273183,,,888-758-4389,,USCPIL204445,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.145285000007,47.5688710000356,29,BELLEVUE SBCC #2,42228,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:26:23+00,2011/11/15 00:00:00+00,,,14509 SE Newport Way,Bellevue,98006,WA,US,47.568871,-122.145285,,,888-758-4389,,USCPIL2109291,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.036937999728,47.6016570002262,30,SAMMAMISH GARAGE 1,42240,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:09:58+00,2011/11/15 00:00:00+00,,,801 228th Ave SE,Sammamish,98075,WA,US,47.601657,-122.036938,,,888-758-4389,,USCPIL215697,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.256619000114,47.4242220000688,31,IBEW LOCAL 46 IBEW LOCAL 46 1,43299,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:11:17+00,2012/01/15 00:00:00+00,,,19802 62nd Ave S,Kent,98032,WA,US,47.424222,-122.256619,,,888-758-4389,,USCPIL286761,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.212444999991,47.4432550000443,32,VALLEY MED CTR MAIN LOT #5,43303,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:36+00,2012/01/15 00:00:00+00,,,400 S 43rd St,Renton,98055,WA,US,47.443255,-122.212445,,,888-758-4389,,USCPIL96239,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.214491000188,47.4446060001778,33,VALLEY MED CTR N GARAGE #1,43305,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:12:07+00,2012/01/15 00:00:00+00,,,4033 Talbot Rd S,Renton,98055,WA,US,47.444606,-122.214491,,,888-758-4389,,USCPIL376691,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.204975999782,47.4745370000817,34,City of Renton - City Hall,43796,ELEC,MUNI_GOV,24 hours daily,E,Public,,False,,2022/01/10 00:00:00+00,2023/07/12 19:33:22+00,2017/01/12 00:00:00+00,,,1055 S Grady Way,Renton,98057,WA,US,47.474537,-122.204976,,,425-430-6600,LG,,Non-Networked,0,2,0,2,,J1772,,Free,,200-9
-122.437428999842,47.2538089999076,35,TAC PW PARKING A ST GARAGE 01,43804,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:11:55+00,2012/01/31 00:00:00+00,,,110 S 10th St,Tacoma,98402,WA,US,47.253809,-122.437429,,,888-758-4389,,USCPIL342971,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.433980000055,47.2459340000286,36,TAC PW PARKING GLASS MUSEUM 01,43806,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:11:54+00,2012/01/31 00:00:00+00,,,1801 Dock St,Tacoma,98402,WA,US,47.245934,-122.43398,,,888-758-4389,,USCPIL342931,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.332664000318,47.6066839998374,37,City of Seattle - Central Library,44153,ELEC,LIBRARY,24 hours daily,E,Public,,False,,2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2011/12/01 00:00:00+00,,,1000 4th Ave,Seattle,98104,WA,US,47.606684,-122.332664,,,206-386-4636,LG,,Non-Networked,0,3,0,3,,J1772,,$2 per session,,200-9
-122.347123999987,47.6220850002454,38,City of Seattle - Seattle Center,44159,ELEC,MUNI_GOV,24 hours daily,E,Public,CREDIT_CARD_ALWAYS,False,"American Express, Discover, MasterCard, Visa",2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2011/12/01 00:00:00+00,,,516 Harrison St,Seattle,98109,WA,US,47.622085,-122.347124,Located in the 5th Ave Garage,,206-684-7340,LG,,Non-Networked,0,6,0,6,,J1772,,"Free; parking fee",,200-8
-120.500687000183,46.5902459997337,39,Valley Nissan,44509,ELEC,CAR_DEALER,Dealership business hours,E,Public,CALL,False,,2020/06/09 00:00:00+00,2023/02/15 22:45:41+00,2011/11/30 00:00:00+00,,,1010 S 1st St,Yakima,98901,WA,US,46.590246,-120.500687,,,509-453-3125,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-121.987449000445,47.8689139997675,40,Snohomish County - Evergreen Fairgrounds,45209,ELEC,MUNI_GOV,8am-5pm M-F,E,Public,,False,,2021/11/04 00:00:00+00,2023/07/13 20:40:27+00,2012/01/20 00:00:00+00,,,14405 179th Ave SE,Monroe,98272,WA,US,47.868914,-121.987449,,,425-388-6619,LG,,Non-Networked,0,2,0,2,,J1772,,,,200-9
-121.261467000132,48.6734659999272,41,Seattle City Light - Newhalem Parking Lot,45654,ELEC,UTILITY,24 hours daily,E,Public,,False,,2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2012/01/01 00:00:00+00,,,500 Newhalem St,Rockport,98283,WA,US,48.673466,-121.261467,,,,LG,,Non-Networked,0,4,0,4,,J1772,,,,200-8
-122.503999999648,45.6301699998232,42,PeaceHealth,47885,ELEC,OFFICE_BLDG,"Employee and guest use only; non-employee use after hours",E,Public,,True,,2021/12/09 00:00:00+00,2023/06/28 17:57:53+00,2012/05/31 00:00:00+00,,,1115 SE 164th Ave,Vancouver,98684,WA,US,45.63017,-122.504,,,,P,,Non-Networked,0,2,0,2,,J1772,,,,GPS
-122.331008999934,47.5986629998045,43,KING COUNTY DES KSC STATION #1,49230,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:06:01+00,2012/07/31 00:00:00+00,,,201 S Jackson St,Seattle,98104,WA,US,47.598663,-122.331009,,,888-758-4389,,USCPIL160467,ChargePoint Network,0,1,0,1,,J1772,http://www.chargepoint.com/,,,GPS
-122.325493999859,48.4375690000269,44,SKAGIT COUNTY ADMIN STATION 2,50210,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:29+00,2012/11/20 00:00:00+00,,,1800 Continental Pl,Mount Vernon,98273,WA,US,48.437569,-122.325494,,,888-758-4389,,USCPIL95457,ChargePoint Network,0,1,0,1,,J1772,http://www.chargepoint.com/,,,GPS
-123.1135000002,48.0853599998092,45,Nikola Broadband,51905,ELEC,OFFICE_BLDG,24 hours daily,E,Public,,False,,2023/06/12 00:00:00+00,2023/06/12 16:56:16+00,2013/05/15 00:00:00+00,,,615 N 5th Ave,Sequim,98382,WA,US,48.08536,-123.1135,,,360-582-1051,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-8
-120.40649400015,48.5944820002959,46,Mazama Country Inn,53702,ELEC,HOTEL,"24 hours daily; for guest use only; Drivers must bring their own J1772 cordset for Level 1 charging",E,Public,CALL,True,,2021/12/09 00:00:00+00,2022/02/10 21:00:18+00,2013/11/01 00:00:00+00,,,15 Country Rd,Mazama,98833,WA,US,48.594482,-120.406494,,,800-843-7951,P,,Non-Networked,2,1,0,1,,"J1772, NEMA 14-50",,Free,,200-9
-122.339405000431,47.6138830002089,47,VIA6 VIA6-SOUTH,55995,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:18:24+00,2014/01/20 00:00:00+00,,,2121 6th Ave,Seattle,98121,WA,US,47.613883,-122.339405,,,888-758-4389,,USCPIL1693751,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.330625999619,47.6055989999922,48,800 FIFTH AVE STATION 2,56870,ELEC,,24 hours daily,T,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:36+00,2011/03/15 00:00:00+00,2022/09/09 00:00:00+00,,800  5th Ave,Seattle,98104,WA,US,47.605599,-122.330626,,,888-758-4389,,USCPIL96235,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-120.019900000363,47.8399000002373,49,Campbell's Lake Chelan Resort,60002,ELEC,HOTEL,"24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging",E,Public,,False,,2021/12/09 00:00:00+00,2022/02/10 21:00:18+00,2013/10/04 00:00:00+00,,,104 W Woodin Ave,Chelan,98816,WA,US,47.8399,-120.0199,,,800-553-8225,P,,Non-Networked,10,0,0,,,NEMA 5-20,,Free,,200-9
-120.019900000363,47.8399000002373,50,Campbell's Lake Chelan Resort,60003,ELEC,HOTEL,"24 hours daily; for guest use only",E,Public,,True,,2021/12/09 00:00:00+00,2022/02/10 21:00:18+00,2013/10/04 00:00:00+00,,,104 W Woodin Ave,Chelan,98816,WA,US,47.8399,-120.0199,,,800-553-8225,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-120.180796000447,48.4765429999874,51,Pine Near RV Park,60004,ELEC,RV_PARK,"24 hours daily; donations accepted",E,Public,,False,,2021/12/09 00:00:00+00,2022/02/10 19:42:29+00,2013/09/23 00:00:00+00,,,316 Castle Ave,Winthrop,98862,WA,US,48.476543,-120.180796,,,509-341-4062,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-8
-119.503977999725,48.4214239997896,52,Omak Inn,60005,ELEC,INN,24 hours daily,E,Public,,False,,2021/12/09 00:00:00+00,2022/02/10 19:42:29+00,2013/10/04 00:00:00+00,,,912 Koala Dr,Omak,98841,WA,US,48.421424,-119.503978,,,"800-204-4800, 509-826-3822",P,,Non-Networked,0,1,0,1,,J1772,,Free,,GPS
-120.742416000273,47.7584339998027,53,59er Diner,60006,ELEC,RESTAURANT,24 hours daily,E,Public,,False,,2021/12/09 00:00:00+00,2022/02/10 19:42:29+00,2014/01/15 00:00:00+00,,,15361 US 2,Leavenworth,98826,WA,US,47.758434,-120.742416,,,509-763-2267,P,,Non-Networked,0,1,0,1,,J1772,,Free,,200-9
-119.9015060003,48.0518250001688,54,Howard's Lakeshore Inn,60007,ELEC,HOTEL,24 hours daily,E,Public,,False,,2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2013/12/28 00:00:00+00,,,233 Lakeshore Dr,Pateros,98846,WA,US,48.051825,-119.901506,,,877-923-9555,P,,Non-Networked,0,1,0,1,,J1772,,Free,,GPS
-122.662816000099,45.7480689997075,55,Birkenstock,60229,ELEC,PARKING_LOT,"Store business hours; free with purchase",E,Public,CALL,False,,2021/01/14 00:00:00+00,2023/07/14 20:52:11+00,2014/01/01 00:00:00+00,,,17506 NE Delfel Ct,Ridgefield,98642,WA,US,45.748069,-122.662816,Exit I-5 at 179th St,,360-574-4332,P,,Non-Networked,0,1,0,1,,J1772,,Free,,GPS
-122.192469000423,47.6207929999148,56,PARKMETRO1 PARK METRO #1,60241,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:38+00,2014/02/07 00:00:00+00,,,11101 NE 12th St,Bellevue,98004,WA,US,47.620793,-122.192469,,,888-758-4389,,USCPIL96533,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.212537999878,47.4431230002132,57,VALLEY MED CTR MAIN LOT #8,60331,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:16+00,2014/02/13 00:00:00+00,,,4109-4251 Talbot Rd S,Renton,98055,WA,US,47.443123,-122.212538,,,888-758-4389,,USCPIL94339,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.675335000052,47.55780099985,58,Haselwood Chevrolet Buick GMC,60718,ELEC,CAR_DEALER,"Dealership business hours; for Chevrolet vehicles only",E,Public,,True,,2021/12/09 00:00:00+00,2023/07/12 20:52:07+00,2014/01/01 00:00:00+00,,,501 W Hills Blvd,Bremerton,98312,WA,US,47.557801,-122.675335,,,360-479-4910,P,,Non-Networked,0,2,0,2,,J1772,,Free,,200-9
-122.301753999962,46.0512280001922,59,Lakeside 24 Hour Fuel,60814,ELEC,GAS_STATION,"6am-9pm daily (summer); 6am-6pm daily (winter)",E,Public,,False,,2023/06/12 00:00:00+00,2023/06/12 16:56:16+00,2014/03/06 00:00:00+00,,,16835 Lewis River Rd,Cougar,98616,WA,US,46.051228,-122.301754,,,360-238-5202,P,,Non-Networked,0,1,0,1,,J1772,,$12 per session,,200-9
-122.625310000294,47.563579999831,60,Kitsap Transit Harborside Garage,61877,ELEC,,,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 01:05:33+00,2013/12/31 00:00:00+00,,,60 Washington Ave,Bremerton,98337,WA,US,47.56358,-122.62531,,,855-885-9571,,92,OpConnect,0,4,0,4,,J1772,http://www.opconnect.com/,,,GPS
-122.7732709996,48.9897509997946,61,Semiahmoo Resort,62286,ELEC,HOTEL,"24 hours daily; for guest use only",E,Public,,True,,2023/06/12 00:00:00+00,2023/06/12 16:56:16+00,2014/04/01 00:00:00+00,,,9565 Semiahmoo Pkwy,Blaine,98230,WA,US,48.989751,-122.773271,Located by the tennis courts,,360-318-2000,P,,Non-Networked,0,1,0,1,,J1772,,,,GPS
-120.307607999849,47.4253750001242,62,Pybus Public Market,62516,ELEC,GROCERY,24 hours daily,E,Public,,False,,2021/12/09 00:00:00+00,2022/02/10 19:42:29+00,2014/07/07 00:00:00+00,,,7 N Worthen St,Wenatchee,98801,WA,US,47.425375,-120.307608,,,509-888-3900,P,,Non-Networked,0,2,0,2,,J1772,,Free,,200-9
-122.197193999579,47.6197720000339,63,UDR ASHTON BELL #2,62654,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:59:22+00,2014/07/30 00:00:00+00,,,10710 NE 10th St,Bellevue,98004,WA,US,47.619772,-122.197194,,,888-758-4389,,USCPIL103817,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.48413100021,48.7834779999255,64,Best Western Plus - Heritage Inn,62692,ELEC,HOTEL,"24 hours daily; for guest use only",E,Public,,True,,2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2014/03/21 00:00:00+00,,,151 E McLeod Rd,Bellingham,98226,WA,US,48.783478,-122.484131,Located at Telegraph Road and East McLeod Road,,360-647-1912,P,,Non-Networked,0,1,0,1,,J1772,,Free,,GPS
-122.196030000363,47.6198400002632,65,UDR TEN20 #1,62728,ELEC,,24 hours daily,E,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:59:09+00,2014/07/31 00:00:00+00,,,1020 108th Ave NE,Bellevue,98004,WA,US,47.61984,-122.19603,,,888-758-4389,,USCPIL102943,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.331441999579,47.6231299999231,66,AMLI SLU AMLI SLU #1,62796,ELEC,,24 hours daily,T,Public,,,,2023/08/06 00:00:00+00,2023/08/06 23:58:51+00,2014/08/06 00:00:00+00,2023/04/26 00:00:00+00,,1250-1282 Republican St,Seattle,98109,WA,US,47.62313,-122.331442,,,888-758-4389,,USCPIL99071,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
